"DEWASME","DEHAYE"
"Hyett","Senior"
"Moritsch","MORITSCH"
"Krekorian","Schwartz"
"IKH","Outsiders"
"J.CLERKIN","USA2"
"Lian RY","Zhejiang Taizhou"
"Lian RY","Zhejiang Jingfan"
"P Widi","Syabas Gabrial UI"
"Sbarigia","Italy"
"HOMME M.","MIXEN NORWAY"
"DRIJVER BA","VITAS"
"Yu Fang","Jin Rong"
"ZAREMBA","POLAND"
"Smieszkol","Poland"
"Mrs Shao","Wu"
"B Hirst","Hirst"
"Prabhakar","Texan Aces"
"LI RUI","Beijing Hong Niu"
"Brown","England"
"Zhang Y","Zhejiang Ladies"
"Snashall","Neill"
"Robinson","ROBINSON"
"Helness","Meltzer"
"Katz","Sadek"
"Zaccaria","SAN  MARINO"
"Senguler Z","Turkey"
"D_Schaltz","DENMARK"
"De Wijs","L' Orange"
"ter Laare","Team 1"
"Navwrocki","Poland"
"Nyberg C","Finland"
"Alex Hogg","Wales"
"AHLESVED","SWEDEN"
"Pachtmann","Bessis"
"DI BELLO","BCAT - ITALY"
"Trendafilo","England"
"Lardo","S.G.Sannio Fioretti"
"TURCZYNOWI","PAJAK"
"Schaltz P","Denmark"
"B.POLII","DKI JAKARTA"
"Michaud-L ","Ellia"
"Pollack","USA2"
"Nunn","OZ OPEN"
"Gromov","Gromov"
"Szappanos","Nimbusz"
"BRINK","Bridge Club Real"
"ARONOV","K4"
"Stein E","Star Team"
"BERTENS Hu","NETHERLANDS"
"MOLLER","ASSAEL"
"ANIL PADHY","sunil machar"
"LAURIA","Cayne"
"Aal S","Norway"
"bessis t","IZISEL"
"Von Armin D","Germany"
"Fantoni","ITALIA"
"Stretz","Mejane"
"KOKSOY","TURKEY"
"Kaku","TAKA"
"N Fitzgibb","Ireland"
"Gosney","Leibowitz"
"Goldberg","LatSwe"
"Karaivanov","AUTBUL"
"Bertheau","Kamil"
"A. Strul","STRUL"
"Hoffman","Israel"
"Yamada","Japan"
"FRANCESCHE","FRANCE"
"Fritsche","Karlsruher BSC"
"LENART Ant","NEW ZEALAND"
"AXNE","Sweden"
"JACOBUS","O'Rourke"
"Brown","ROI"
"Hop G.","EW"
"Gal","GERO"
"SIDEROV","Bulgaria U-21"
"Mari","MOHTASHAMI"
"CHMURSKI","POLAND"
"Sylvan J","Sweden"
"A.P.Rosari","China Macau"
"Kierznowsk","CHLODNIA"
"Brian Senior","Wolfarth"
"KRANYAK","USA2"
"HAYES","Latvia"
"POTTAGE","WALES"
"Fornaciari","Fornaciari"
"MUSTAFA TO","ASSAEL"
"S.F.Fung","China Hongkong"
"levin","JACOBS"
"Bessis","Amoils"
"Fredin","Sweden"
"Zia","USA 1"
"Liu DY","Jin Fu"
"Beineix","Lasserre"
"Heshmat","El Rabwa Club (A)"
"anal s","Kabra"
"MARKOWICZ","Poland"
"MAJUMDAR","India"
"Fisher","Israel"
"Liu YQ","Huan Qiu Shi Bao"
"WRANG","SWEDEN"
"Bi SG","Huochetou"
"Winkler","GAMAX"
"Versace","ANGELINI BT TCP"
"Robson","Robson"
"versace","ITALY"
"DUFRAT","CONNECTOR POLAND"
"Gumby","AUSTRALIA"
"Mejane","Renouard"
"Michaud-La","Nahmias"
"Huang MF","Jiu Jiu B"
"Grainger","L'Ecuyer"
"DUBININ","Russia"
"Koukouvou","Karamanli"
"P Huang","Yeh Bros"
"Gula","Polen"
"toszeghi","RIBITAS"
"Branco","Amaral"
